"一级模块","二级模块","页面/功能","说明","典型业务场景/用例示例"
"数据集成","转换插件-输入","Mysql输入（离线）","离线 MySQL 输入插件","对接线上 MySQL 业务库进行批量抽取。"
"数据集成","转换插件-输入","PostgreSql输入（离线）","离线 PostgreSQL 输入插件","对接 PostgreSQL 数据源做离线同步。"
"数据集成","转换插件-输入","Oracle输入（离线）","离线 Oracle 输入插件","从 Oracle 生产库抽取历史业务数据。"
"数据集成","转换插件-输入","SQL Server输入（离线）","离线 SQL Server 输入插件","接入内部 SQL Server 系统数据。"
"数据集成","转换插件-输入","HBase输入（离线）","离线 HBase 输入插件","从 HBase 拉取宽表数据进入数仓。"
"数据集成","转换插件-输入","MongoDB输入（离线）","离线 MongoDB 输入插件","抽取 MongoDB 文档数据进行结构化处理。"
"数据集成","转换插件-输入","Clickhouse输入（离线）","离线 ClickHouse 输入插件","从 ClickHouse 统计库拉取数据用于复用。"
"数据集成","转换插件-输入","Oceanbase输入（离线）","离线 OceanBase 输入插件","对接 OceanBase 分布式数据库。"
"数据集成","转换插件-输入","DM输入（离线）","离线 DM 数据库输入插件","从国产 DM 数据库抽取数据。"
"数据集成","转换插件-输入","Hive输入（离线）","离线 Hive 输入插件","从 Hive 数仓读取离线明细或汇总数据。"
"数据集成","转换插件-输入","Excel输入（离线）","离线 Excel 输入插件","导入业务侧提供的 Excel 台账。"
"数据集成","转换插件-输入","JSON输入（离线）","离线 JSON 输入插件","批量导入 JSON 文件日志或接口结果。"
"数据集成","转换插件-输入","XML输入（离线）","离线 XML 输入插件","解析 XML 报文并转换为结构化表。"
"数据集成","转换插件-输入（实时）","MysqlCDC输入（实时）","实时 MySQL CDC 输入","通过 CDC 捕获 MySQL 增量变更，构建实时数仓。"
"数据集成","转换插件-输入（实时）","PostgreSqlCDC输入（实时）","实时 PostgreSQL CDC 输入","接入 PostgreSQL 增量变更流。"
"数据集成","转换插件-输入（实时）","OracelCDC输入（实时）","实时 Oracle CDC 输入","捕获 Oracle 表增量数据用于实时分析。"
"数据集成","转换插件-输入（实时）","SQL ServerCDC输入（实时）","实时 SQL Server CDC 输入","实时同步 SQL Server 关键业务表。"
"数据集成","转换插件-输入（实时）","MongoDBCDC输入（实时）","实时 MongoDB CDC 输入","实时感知 MongoDB 文档变化。"
"数据集成","转换插件-输入（实时）","Kafka输入（实时）","实时 Kafka 输入","消费 Kafka 主题中的实时事件流。"
"数据集成","转换插件-输出","表输出（离线）","离线表输出插件","将转换结果写入目标表，如数仓明细层。"
"数据集成","转换插件-输出","Mysql输出（离线）","离线 MySQL 输出插件","将加工结果回写到 MySQL 应用库。"
"数据集成","转换插件-输出","PostgreSql输出（离线）","离线 PostgreSQL 输出插件","输出到 PostgreSQL 数据库作为下游输入。"
"数据集成","转换插件-输出","Oracle输出（离线）","离线 Oracle 输出插件","将结果同步回 Oracle 系统。"
"数据集成","转换插件-输出","Clickhouse输出（离线）","离线 ClickHouse 输出插件","将聚合结果加载进 ClickHouse 以便查询。"
"数据集成","转换插件-输出","DM输出（离线）","离线 DM 输出插件","向 DM 数据库写入结果表。"
"数据集成","转换插件-输出","Oceanbase输出（离线）","离线 OceanBase 输出插件","将结果写入 OceanBase 分布式存储。"
"数据集成","转换插件-传输","多表联合（离线）","多表 join/联合转换","对多个来源的表进行关联整合。"
"数据集成","转换插件-传输","关联表更新（离线）","通过关联表进行更新","根据维表内容批量更新主表字段。"
"数据集成","转换插件-文件","文件复制（离线）","离线文件复制","定时将文件从一目录复制到另一目录用于备份或下游处理。"
"数据集成","转换插件-校验","数据校验（离线、实时）","数据质量/一致性校验","对抽取或转换后的数据进行空值、范围、一致性检查。"
"数据集成","转换插件-查询","流查询（离线）","离线流式查询","对大批量数据做游标式扫描查询。"
"数据集成","转换插件-查询","数据库查询（离线）","离线数据库查询","在任务中执行一次或多次查询获取参考数据。"
"数据集成","转换插件-查询","数据库查询（实时）","实时数据库查询","在实时流程中查询维度信息进行富化。"
"数据集成","转换插件-流程","空操作（离线、实时）","占位/空操作节点","用于流程占位或调试，不改变数据。"
"数据集成","转换插件-流程","设置变量（离线、实时）","流程变量设置","设置运行时变量供后续节点使用。"
"数据集成","转换插件-转换","常量增加（离线、实时）","增加常量字段","为每条记录增加固定值字段，如数据来源标识。"
"数据集成","转换插件-转换","分组（离线、实时）","分组聚合转换","按业务主键分组做汇总统计。"
"数据集成","转换插件-转换","计算（离线、实时）","计算/派生字段","基于现有字段计算新指标值。"
"数据集成","转换插件-转换","记录排序（离线、实时）","记录排序","按时间或其他字段对记录排序。"
"数据集成","转换插件-转换","加密解密（离线、实时）","字段加解密","对敏感字段进行加密存储或运行时解密。"
"数据集成","转换插件-转换","静态脱敏（离线、实时）","静态数据脱敏","对落地数据进行静态掩码处理。"
"数据集成","转换插件-转换","数据类型转换（离线、实时）","字段类型转换","统一字段类型，例如字符串转数值或日期。"
"数据集成","转换插件-转换","系统信息添加（离线、实时）","增加系统字段","自动增加创建时间、操作人等系统字段。"
"数据集成","转换插件-转换","值映射（离线、实时）","值映射/码值替换","将原始取值映射为标准码值。"
"数据集成","转换插件-转换","重复记录去除（离线、实时）","去重转换","根据主键或规则删除重复记录。"
"数据集成","转换插件-转换","字符串操作（离线、实时）","通用字符串操作","拼接、截取、大小写转换等字符串处理。"
"数据集成","转换插件-转换","字符串剪切（离线、实时）","字符串截取","按位置截取字段内容。"
"数据集成","转换插件-转换","字符串替换（离线、实时）","字符串替换","按规则替换字段中的子串。"
"数据集成","转换插件-脚本","执行SQL脚本（离线、实时）","执行 SQL 脚本任务","以 SQL 形式批量初始化或修复数据。"
"数据集成","转换插件-脚本","SQL数据流转（离线、实时）","基于 SQL 的数据流转","用 SQL 串联多张表实现复杂流转逻辑。"
"数据集成","作业管理","作业概览","作业整体视图","运维查看所有作业的成功率、平均耗时、失败分布。"
"数据集成","作业管理","作业管理","作业列表与管理入口","管理将多个转换任务编排成的作业流，统一启停。"
"数据集成","作业管理","新增作业（第一步）","作业基础信息配置","新建夜间全量同步作业，配置名称、优先级、运行频率。"
"数据集成","作业管理","新增作业（第二步）","作业流程/插件配置","在作业中串联多个任务和条件插件，实现复杂调度流。"
"数据集成","作业管理","编辑作业","编辑既有作业","将原本每日运行的作业调整为每小时运行，并增加告警。"
"数据集成","作业管理","查看作业","查看作业详情","出现数据延迟时查看作业包含的子任务及依赖。"
"数据集成","作业管理","作业回收站","删除作业管理","关闭某业务线后将其作业移入回收站，保留一段时间再彻底删除。"
"数据集成","作业管理","作业日志","作业运行日志","运维按作业名查询某次运行的开始、结束时间与失败节点。"
"数据集成","作业插件","作业调度插件","作业调度相关插件","在作业中配置复杂调度策略和依赖。"
"数据集成","作业插件","转换插件","作业中使用的转换插件说明","说明在作业层如何复用转换能力。"
"数据集成","作业插件","文件创建（离线）","文件创建插件","在调度中自动创建文件作为标记或输出。"
"数据集成","作业插件","文件删除（离线）","文件删除插件","定期清理历史文件，控制磁盘空间。"
"数据集成","作业插件","表条数计算（离线）","统计表记录条数","统计某表当前记录数用于监控。"
"数据集成","作业插件","表条数统计（离线、实时）","运行中表条数统计","按周期统计数据量变化趋势。"
"数据集成","作业插件","统计数据保存（离线、实时）","保存统计结果","将统计指标存入监控或报表表。"
"数据集成","集成监控","转换数据运行统计","转换运行统计总览","监控近 7 天任务耗时、失败率，识别异常任务。"
"数据集成","集成监控","集成预警规则","预警规则列表","查看现有预警规则，确认是否覆盖关键数据链路。"
"数据集成","集成监控","新增预警规则","新建预警规则","为订单数据同步任务失败设置短信告警。"
"数据集成","集成监控","编辑预警规则","编辑预警规则","调整某预警的阈值或告警渠道。"
"数据集成","集成监控","集成预警列表","预警触发记录列表","运营查看近一周预警触发次数，评估稳定性。"
"数据集成","集成监控","告警记录列表","告警记录明细","运维根据告警时间回溯对应任务与日志。"
"数据集成","集成配置","通知配置","告警通知渠道配置","配置告警发送到企业微信、邮件或短信的模板与接收人。"
"数据集成","集成配置","AccessKey","接入 AccessKey 管理","为调用平台 API 的外部系统申请或吊销 AccessKey。"
"数据集成","集成配置","Kerberos认证","Kerberos 安全认证配置","在接入大数据集群时配置 Kerberos 票据，验证认证是否生效。"
"数据开发工具","开发工具","离线开发","离线数据开发入口","数仓工程师开发离线 ETL 作业，对历史数据批处理。"
"数据开发工具","开发工具","实时开发","实时数据开发入口","实时工程师开发 Flink 或 Spark Streaming 作业。"
"数据开发工具","开发工具-节点组件","节点组件全局说明","节点组件统一说明","学习各类节点（数据集成、开发、控制）的用途与参数。"
"数据开发工具","开发工具-节点组件","数据集成转换","集成转换节点（含查看转换任务）","在线上运维中从调度视角跳转查看具体转换任务详情。"
"数据开发工具","开发工具-节点组件","数据集成作业","集成作业节点（含查看作业）","在工作流中嵌入现有数据集成作业，实现编排复用。"
"数据开发工具","开发工具-节点组件","SparkSQL","Spark SQL 节点","编写 SQL 进行离线批处理计算。"
"数据开发工具","开发工具-节点组件","FlinkSQL","Flink SQL 节点","开发实时流式处理逻辑，如实时统计 PV/UV。"
"数据开发工具","开发工具-节点组件","Spark","Spark 任务节点","触发自定义 Spark 程序或脚本。"
"数据开发工具","开发工具-节点组件","循环节点","循环控制节点","按天或按分片循环执行子流程。"
"数据开发工具","开发工具-节点组件","赋值节点","变量赋值节点","在流程中设定上下文变量，用于后续条件判断。"
"数据开发工具","开发工具-节点组件","并发结合节点","并发结果汇聚节点","多个分支任务并发执行后，在该节点合并并等待全部完成。"
"数据开发工具","运维","离线开发调度","离线任务调度管理","调度管理员配置每日离线任务运行时间与依赖关系。"
"数据开发工具","运维","实时开发调度","实时任务调度管理","管理实时作业上线、下线与重启策略。"
"数据开发工具","运维","告警配置","告警规则配置","为离线、实时开发任务设置失败或延迟告警。"
"数据开发工具","运维","创建告警规则","新增开发告警规则","为关键离线作业创建超时 1 小时未完成即告警的规则。"
"数据开发工具","运维","编辑告警规则","编辑开发告警规则","根据运行经验降低或提高告警阈值，减少噪声。"
"数据开发工具","运维","查看告警规则","查看告警规则详情","审核当前生效的告警规则是否符合运维策略。"
"数据开发工具","运维","告警记录","开发任务告警记录","统计最近告警高发的作业，定位性能瓶颈。"
"数据质量","规则库","数据质量规则库","质量规则列表与管理入口","数据治理人员查看平台已有质量规则类型与覆盖范围。"
"数据质量","规则库","新增规则","新建质量规则","为订单金额字段配置非空且大于 0 的校验规则。"
"数据质量","规则库","查看规则","查看质量规则","在排查质量问题时查看具体校验逻辑。"
"数据质量","规则库","编辑规则","编辑质量规则","根据新业务需求更新某质量规则的阈值或范围。"
"数据质量","任务管理","数据质量任务管理","质量任务列表","查看所有质量任务的执行结果与失败率。"
"数据质量","任务管理","新增质量任务","新建数据质量任务","针对关键主题域（如客户）配置每日质量扫描任务。"
"数据质量","任务管理","查看质量任务","查看质量任务详情","在报告异常时查看该任务关联的数据源和规则。"
"数据质量","任务管理","编辑质量任务","编辑质量任务","增减某任务绑定的质量规则或执行频率。"
"数据质量","报告管理","质量报告管理","报告列表","管理各次质量检查生成的报告，按时间、主题筛选。"
"数据质量","报告管理","质量报告详情页","报告详情页面","查看某次扫描的质量得分、问题分布及修复建议。"
"数据质量","报告管理","质量报告（下载word版）","导出 Word 报告","将质量报告导出为 Word，发给业务方或用于评审材料。"
"数据质量","配置","通知配置","质量告警通知配置","配置当质量得分低于阈值时通知哪些负责人。"
"数据标准","标准集管理","标准集管理","标准集列表与入口","统一管理不同业务域的数据标准集合。"
"数据标准","标准集管理","新增标准集","新建标准集","为营销域建立新的标准集，定义其包含范围。"
"数据标准","标准集管理","编辑标准集","编辑标准集","调整某标准集关联的主题或负责人。"
"数据标准","标准集管理","查看标准集","查看标准集详情","评审会议中查看标准集的具体内容与状态。"
"数据标准","数据标准管理","数据标准管理","数据标准列表与入口","统一管理字段级标准，如客户号、证件号等。"
"数据标准","数据标准管理","新增数据标准","新建数据标准","为新引入的数字人 ID 定义命名、类型、长度规则。"
"数据标准","数据标准管理","编辑数据标准","编辑数据标准","随业务规则变化调整字段标准（如长度、取值范围）。"
"数据标准","数据标准管理","复制数据标准","复制数据标准","基于现有标准快速复制，修改少量属性作为新标准。"
"数据标准","数据标准管理","查看数据标准","查看数据标准详情","开发人员对照标准设计数据库字段。"
"数据标准","模板管理","标准模板管理","标准模板列表","管理各种标准文档模板、接口模板等。"
"数据标准","模板管理","新增模板","新建模板","新增一份数据标准评审模板用于统一评审文档格式。"
"数据标准","模板管理","编辑模板","编辑模板","调整模板结构以适应新流程。"
"数据标准","模板管理","查看模板","查看模板","业务人员按模板撰写新标准文档。"
"数据标准","模板管理","复制模板","复制模板","以某模板为基础衍生出子模板。"
"数据标准","参考数据","标准文档管理","标准文档列表","集中管理数据标准相关 PDF、Word 文档。"
"数据标准","参考数据","标准词根管理","词根/命名管理","约束字段命名（如 cust, prod 等统一词根）。"
"数据标准","参考数据","标准码值管理","码表列表与入口","管理统一码表，如性别、证件类型。"
"数据标准","参考数据","新增码表","新建码表","新增渠道类型码表并配置编码与含义。"
"数据标准","参考数据","编辑码表","编辑码表","调整码值名称或新增、停用某个码值。"
"数据标准","参考数据","查看码表","查看码表详情","接口设计时对照码表定义出参。"
"数据共享","数据服务","数据服务","API 服务列表","管理所有对外提供的数据 API。"
"数据共享","数据服务","新增API","新建数据服务 API","为客户基础信息查询创建新的 API，并配置数据源与权限。"
"数据共享","数据脱敏","数据脱敏","脱敏服务配置列表","查看所有已配置的数据脱敏策略。"
"数据共享","数据脱敏","新增数据脱敏","新建脱敏配置","为身份证号字段配置掩码规则，并应用到多个服务。"
"数据共享","服务集成","服务集成","外部服务集成列表","管理与外部系统（如 CRM、风控）之间的服务编排关系。"
"数据共享","服务集成","新增服务集成","新建服务集成","新建客户画像服务集成，聚合多个底层服务输出。"
"系统管理","系统运维","日志管理","系统日志列表与查询","运维根据时间、模块、用户筛选系统运行日志。"
"系统管理","系统运维","字典表管理","字典/枚举管理入口","管理系统级枚举，如任务状态、预警级别。"
"系统管理","系统运维","新增字典","新建字典项","为任务严重程度新增一个新级别。"
"系统管理","系统运维","编辑字典","编辑字典项","修改某字典值的展示名称。"
"系统管理","系统运维","查看字典","查看字典详情","开发或测试核对某状态码含义。"
"系统管理","系统运维","通知公告管理","公告/通知列表","平台管理员发布系统维护通知或新功能公告。"
"系统管理","系统运维","新增内容（公告）","新建公告内容","发布周末停机维护公告。"
"系统管理","系统运维","编辑内容（公告）","编辑公告内容","修改已发布公告的时间或内容。"
"系统管理","系统运维","Logo配置","系统 Logo 配置页面","为不同租户配置不同 Logo。"
"系统管理","系统运维","新增内容（Logo）","新建 Logo 配置项","为新租户上传 Logo 文件并生效。"
"系统管理","系统运维","编辑内容（Logo）","编辑 Logo 配置项","替换某租户已存在的 Logo。"
"系统管理","系统运维","水印管理","系统水印管理页面","配置页面水印文字、透明度、位置。"
"系统管理","系统运维","新增内容（水印）","新建水印配置","为敏感环境启用水印策略。"
"系统管理","系统运维","编辑内容（水印）","编辑水印配置","调整水印样式或关闭水印。"
"组织权限","组织机构","组织机构","组织结构列表","展示公司组织架构树，作为用户与权限的挂载点。"
"组织权限","组织机构","新增组织","新增组织节点","新增数据中台部组织节点。"
"组织权限","组织机构","编辑组织","编辑组织信息","组织名称变更或组织迁移时更新信息。"
"组织权限","组织机构","查看组织","查看组织详情","HR 或管理员查看某组织的基本信息与成员。"
"组织权限","角色管理","角色管理","角色列表","管理系统中各种角色（管理员、开发、业务等）。"
"组织权限","角色管理","新增角色","新增角色","为质量管理员新建角色，并后续配置权限。"
"组织权限","角色管理","编辑角色","编辑角色","调整角色名称或说明。"
"组织权限","角色管理","查看角色","查看角色详情","确认某角色当前被哪些用户使用。"
"组织权限","用户管理","用户管理","用户列表","查看全量用户、状态、所属组织与角色。"
"组织权限","用户管理","新增用户","新增用户","为新员工创建系统账号并绑定角色。"
"组织权限","用户管理","编辑用户","编辑用户","调整用户所属部门或角色。"
"组织权限","用户管理","查看用户","查看用户详情","在权限问题排查时查看用户信息与授权情况。"
"组织权限","菜单权限","菜单管理","系统菜单配置","管理系统侧边栏、顶部菜单结构与展示顺序。"
"组织权限","菜单权限","权限管理","权限点与授权管理","为角色或用户配置菜单权限、按钮权限等访问控制。"
